Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
XL Reeb Sqweeb 29 wheel. Aluminum Mountain Bike,,Reeb,Sqweeb,2500,USD,"Good - Used, Mechanically Sound",XL,29,160 mm,150 mm,Aluminium,year,https://www.pinkbike.com/buysell/3869192/
2022 Custom build Marin Alpine trail carbon 2,2022,Ari,NoModelFound,4374,CAD,Excellent - Lightly Ridden,XL,29,170 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3809382/
2016 Whyte g-170s,2016,Whyte,NoModelFound,2000,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,180 mm,170 mm,Aluminium,model,https://www.pinkbike.com/buysell/3869122/
2021 Spot Mayhem 150 - XTR Build plus - priced to move,2021,NoManufacturer,NoModelFound,3000,USD,"Good - Used, Mechanically Sound",L,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3812674/
2022 Sworks enduro,2022,NoManufacturer,NoModelFound,5000,USD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3866159/
2018 Knolly Delirium,2018,Knolly,NoModelFound,2500,USD,Excellent - Lightly Ridden,L,27.5 / 650B,180 mm,170 mm,Aluminium,model,https://www.pinkbike.com/buysell/3868790/
2015 Kona Process 134 Size L,2015,Kona,NoModelFound,1200,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,140 mm,135 mm,Aluminium,model,https://www.pinkbike.com/buysell/3863470/
2018 Commencal Meta,2018,Commencal,NoModelFound,1823,CAD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,160 mm,Aluminium,model,https://www.pinkbike.com/buysell/3863175/
2010 Intense Racing - Uzzi,2010,Intense,NoModelFound,765,CAD,"Good - Used, Mechanically Sound",S,26,180 mm,170 mm,Aluminium,model,https://www.pinkbike.com/buysell/3868284/
2022 YT CAPRA CORE 3 MX ENDURO  SIZE M,2022,YT,Capra,3200,USD,Excellent - Lightly Ridden,M,,170 mm,170 mm,Carbon Fiber,wheel size,https://www.pinkbike.com/buysell/3579895/
2017 Giant reign 2,2017,Giant,Reign,1094,CAD,Excellent - Lightly Ridden,M,27.5 / 650B,160 mm,,,rear travel,https://www.pinkbike.com/buysell/3859428/
