Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2023 Specialized Turbo Levo Comp Alloy,2023,Specialized,Turbo Levo Electric,2450,USD,Excellent - Lightly Ridden,S,29,160 mm,150 mm,Aluminium,model,https://www.pinkbike.com/buysell/3920554/
2023 Super Clean Esker Elkat w/Carbon I-9’s,2023,NoManufacturer,NoModelFound,2900,USD,Excellent - Lightly Ridden,XL,27.5 / 650B,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3921680/
2015 Devinci Dixon Carbon RXS Bike - Medium,2015,Devinci,NoModelFound,3000,USD,"Good - Used, Mechanically Sound",M,26,160 mm,145 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3906179/
2022 Tradition spire xt price reduced,2022,NoManufacturer,NoModelFound,3250,USD,Excellent - Lightly Ridden,M,29,170 mm,170 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3591188/
Knolly Chilcotin 170 G6 Raw L | Ohlins | XX | I9,,Knolly,Chilcotin,6614,CAD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Aluminium,year,https://www.pinkbike.com/buysell/3898481/
2022 Specialized Stumpy Evo Mullet Carbon Fox Factory S5,2022,Specialized,NoModelFound,2950,USD,Excellent - Lightly Ridden,XL,29,160 mm,155 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3901520/
Evil Wreckoning CUSTOM *NEW + e-SHIFTING (M setup),,Evil,Wreckoning,4700,USD,New - Unridden/With Tags,,29,160 mm,155 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3545330/
Nukeproof Giga 297 *DREAM BUILD*,,Nukeproof,Giga,6500,USD,New - Unridden/With Tags,M,29,180 mm,170 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3880383/
2022 Specialized Kenevo SL Expert S4 AXS Upgrades,2022,Specialized,Kenevo Electric,4500,USD,"Good - Used, Mechanically Sound",L,29,170 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3914559/
2018 Rocky Mtn Instinct BC Edition C90 Large,2018,NoManufacturer,NoModelFound,2132,CAD,"Good - Used, Mechanically Sound",L,29,170 mm,155 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3906468/
2020 Scott Tuned Random,2020,Scott,NoModelFound,5000,USD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3883351/
2018 Specialized Turbo Levo Expert FSR Carbon Large,2018,Specialized,Turbo Levo Electric,1850,USD,Excellent - Lightly Ridden,L,27.5 / 650B,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3849457/
2023 Kona Process 134 DL,2023,Kona,NoModelFound,4000,USD,Excellent - Lightly Ridden,L,29,140 mm,135 mm,Aluminium,model,https://www.pinkbike.com/buysell/3823749/
2019 NS Snabb 150 Plus 2,2019,NoManufacturer,NoModelFound,950,USD,"Good - Used, Mechanically Sound",M,29,160 mm,155 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3913625/
2022 Orbea Rallon XL XTR Carbon Everything,2022,Orbea,NoModelFound,4500,USD,"Good - Used, Mechanically Sound",XL,29,170 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3906483/
2020 kona satori,2020,Kona,NoModelFound,1323,CAD,Excellent - Lightly Ridden,S,29,140 mm,130 mm,Aluminium,model,https://www.pinkbike.com/buysell/3586996/
2024 Specialized Turbo Levo Custom *NEED GONE*,2024,Specialized,Turbo Levo Electric,6500,USD,Excellent - Lightly Ridden,M,29,170 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3919249/
2021 XL Commensal META AM 29,2021,NoManufacturer,NoModelFound,1750,USD,"Good - Used, Mechanically Sound",XL,29,170 mm,160 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3827634/
2021 Mondraker Foxy Bike,2021,Mondraker,NoModelFound,1500,USD,Excellent - Lightly Ridden,S,29,160 mm,200 mm,Aluminium,model,https://www.pinkbike.com/buysell/3851411/
2018 SantaCruz Hightower LT CC-XO1,2018,NoManufacturer,NoModelFound,2205,CAD,Excellent - Lightly Ridden,XL,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3705548/
2020 Ransom 920 XL,2020,NoManufacturer,NoModelFound,2205,CAD,Excellent - Lightly Ridden,XL,29,170 mm,170 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3673160/
2021 ON ONE WREKKER TI,2021,NoManufacturer,NoModelFound,3500,USD,Excellent - Lightly Ridden,S,29,160 mm,0 mm (Hardtail),Titanium,manufacturer,https://www.pinkbike.com/buysell/3917093/
2023 Santa Cruz Bronson M GX AXS Dark Matter,2023,Santa Cruz,Bronson,5500,USD,New - Unridden/With Tags,M,,160 mm,150 mm,Carbon Fiber,wheel size,https://www.pinkbike.com/buysell/3764518/
2022 Niner Wfo Rdo  Size Small,2022,Niner,NoModelFound,2600,USD,Excellent - Lightly Ridden,S,29,180 mm,180 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3851793/
2022 **YT DECOY CORE 3***,2022,YT,Deco,4500,USD,Excellent - Lightly Ridden,L,29,,,Carbon Fiber,front travel,https://www.pinkbike.com/buysell/3907930/
2021 Giant Advanced Pro 29 1 - PRICE REDUCED,2021,Giant,NoModelFound,2793,CAD,Excellent - Lightly Ridden,L,29,170 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3848562/
2022 Sb 150 T1 XL,2022,NoManufacturer,NoModelFound,2750,USD,Excellent - Lightly Ridden,XL,29,170 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3885364/
2018 Commencal Meta 4.2 AM,2018,Commencal,NoModelFound,1617,CAD,"Good - Used, Mechanically Sound",L,27.5 / 650B,170 mm,160 mm,Aluminium,model,https://www.pinkbike.com/buysell/3869161/
2019 Custom Alchemy Arktos,2019,Alchemy,NoModelFound,3675,CAD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3603920/
2023 Santacruz Megatower V2 XL,2023,NoManufacturer,NoModelFound,5880,CAD,Excellent - Lightly Ridden,XL,29,170 mm,170 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3664598/
"2020 Mach 5.5 XS 160mm, 140mm dw link",2020,NoManufacturer,NoModelFound,3200,USD,"Good - Used, Mechanically Sound",XS,27.5 / 650B,160 mm,140 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3786006/
2019 Bronson c xx1 AXS medium. Extra 27.5 carbon wheelset..,2019,NoManufacturer,NoModelFound,5000,USD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,160 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3870165/
2018 Yeti sb6c,2018,Yeti,NoModelFound,2500,USD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3900206/
2020 Marin Alpine Trail 8,2020,Ari,NoModelFound,1600,USD,"Good - Used, Mechanically Sound",M,29,160 mm,150 mm,Aluminium,model,https://www.pinkbike.com/buysell/3636135/
2020 LIKE NEW YT Cappra - XL,2020,YT,NoModelFound,1500,USD,Excellent - Lightly Ridden,XL,29,170 mm,170 mm,Aluminium,model,https://www.pinkbike.com/buysell/3918364/
2017 De Vinci Spartan XL,2017,NoManufacturer,NoModelFound,1691,CAD,"Good - Used, Mechanically Sound",XL,27.5 / 650B,160 mm,160 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3669741/
2021 SPECIALZID ENDURO S-WORKS S-4,2021,NoManufacturer,NoModelFound,3950,USD,Excellent - Lightly Ridden,L,29,180 mm,180 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3811498/
2022 Ripmo AF with jade x coil & performance elite fork,2022,NoManufacturer,NoModelFound,2200,USD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3894382/
2023 *NEW*  Carbon Salsa Cassidy SLX MEDIUm,2023,Salsa,NoModelFound,2800,USD,New - Unridden/With Tags,M,29,180 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3917067/
2021 Kenevo Expert Specialized,2021,Specialized,Kenevo Electric,5000,USD,"Good - Used, Mechanically Sound",XL,27.5 / 650B,200 mm,180 mm,Aluminium,model,https://www.pinkbike.com/buysell/3907132/
2022 stumpjumper evo alloy s4,2022,NoManufacturer,NoModelFound,2650,USD,"Good - Used, Mechanically Sound",L,29,160 mm,155 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3914824/
2018 Santacruz Nomad C,2018,NoManufacturer,NoModelFound,3000,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,170 mm,170 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3842563/
Canyon Spectral CF 7,,Canyon,Spectral,2700,USD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3914302/
2021 Kona Process 134 CR29 M frame,2021,Kona,NoModelFound,3087,CAD,Excellent - Lightly Ridden,M,29,140 mm,135 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3873406/
2022 Santa Cruz Bronson 4 CC MX. -  Shimano XT Build - Med,2022,Santa Cruz,Bronson,3800,USD,Excellent - Lightly Ridden,M,,160 mm,150 mm,Carbon Fiber,wheel size,https://www.pinkbike.com/buysell/3898415/
Switchblade Pro XT/XTR Small,,NoManufacturer,NoModelFound,4300,USD,Excellent - Lightly Ridden,S,29,160 mm,143 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3488194/
2020 Rocky Mtn. Altitude A50,2020,NoManufacturer,NoModelFound,2000,USD,"Good - Used, Mechanically Sound",L,29,170 mm,160 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3908430/
2021 Nukepoof Mega Elite 290,2021,NoManufacturer,NoModelFound,2900,USD,"Good - Used, Mechanically Sound",XL,29,170 mm,160 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3841537/
2024 RockyMountain Altitude C70 Powerplay,2024,NoManufacturer,NoModelFound,8000,USD,Excellent - Lightly Ridden,L,29,170 mm,160 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3907088/
2023 S-Works Stumpjumper Evo frame build,2023,NoManufacturer,NoModelFound,3500,USD,"Good - Used, Mechanically Sound",M,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3811031/
2018 Banshee Darkside,2018,Banshee,NoModelFound,1200,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,180 mm,180 mm,Aluminium,model,https://www.pinkbike.com/buysell/3903674/
2016 Yeti SB6C 30th Anniversary Edition (Rare),2016,Yeti,NoModelFound,2500,USD,Excellent - Lightly Ridden,M,27.5 / 650B,160 mm,153 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3855350/
2023 Scott ramson 10 or just table I can Take her to VC,2023,Scott,NoModelFound,3308,CAD,Excellent - Lightly Ridden,S,29,170 mm,170 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3765027/
2021 Stumpjumper Evo Carbon Expert + Upgrades,2021,NoManufacturer,NoModelFound,3671,CAD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3796671/
2019 Ebike Specialized Kenevo Expert Storm Grey,2019,Specialized,Kenevo Electric,2995,USD,Excellent - Lightly Ridden,L,27.5 / 650B,180 mm,180 mm,Aluminium,model,https://www.pinkbike.com/buysell/3866978/
2023 NEW!!!! NS Define Carbon 150 Zeb X2 GX,2023,NoManufacturer,NoModelFound,2940,CAD,New - Unridden/With Tags,M,29,170 mm,155 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3392785/
