Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2021 Marin Rift Zone 3 - Small,2021,Ari,Rift Zone,1500,USD,"Good - Used, Mechanically Sound",S,29,130 mm,130 mm,Aluminium,,https://www.pinkbike.com/buysell/3905211/
2023 Santa Cruz 5010 C S-Kit Medium & Small,2023,Santa Cruz,5010,5500,USD,New - Unridden/With Tags,M,27.5 / 650B,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3773476/
2022 Specialized S-Works Stumpjumper S3,2022,Specialized,Stumpjumper,5999,USD,Excellent - Lightly Ridden,M,29,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3843398/
2021 Evil Following V3 Dream Build,2021,Evil,Following,4500,USD,"Good - Used, Mechanically Sound",M,29,130 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3918156/
"2020 Revel Rascal T1000 XL, PUSH 11.6, ACS3 & H97, AXS",2020,Revel,Rascal,5950,USD,Excellent - Lightly Ridden,XL,29,150 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3518067/
2020 Nukeproof Reactor 290 RS Carbon (L),2020,Nukeproof,Reactor,2100,USD,Excellent - Lightly Ridden,L,29,150 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3905345/
2021 Trek Fuel EX 7 Full Suspension Mountain Bike Medium,2021,Trek,Fuel EX,1695,USD,Excellent - Lightly Ridden,M,29,140 mm,130 mm,Aluminium,,https://www.pinkbike.com/buysell/3905693/
2023 Specialized Stumpjumper EVO 29 Carbon Wheels S3 Medium,2023,Specialized,Stumpjumper,2395,USD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3912913/
"2022 Santa Cruz Hightower, Large",2022,Santa Cruz,Hightower,3185,USD,Excellent - Lightly Ridden,L,29,150 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3924947/
"2024 Final $, shipped! Evil Following LS GX w I9 Enduro S",2024,Evil,Following,3450,USD,New - Unridden/With Tags,M,29,130 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3907360/
2015 Intense Tracer 575,2015,Intense,Tracer,1000,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,140 mm,140 mm,Aluminium,,https://www.pinkbike.com/buysell/3924943/
2022 Specialized Stumpjumper Pro ex demo s5,2022,Specialized,Demo,4048,CAD,"Good - Used, Mechanically Sound",XL,29,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3879822/
