Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2019 Giant Reign,2019,Giant,Reign,1840,CAD,"Good - Used, Mechanically Sound",S,27.5 / 650B,180 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3739459/
2020 Trek Slash 9.8 Small,2020,Trek,Slash,4000,USD,Excellent - Lightly Ridden,S,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3668900/
2020 Norco Sight - Full Custom,2020,Norco,Sight,2870,CAD,"Good - Used, Mechanically Sound",L,27.5 / 650B,180 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3599925/
2019 YT Capra CF Full Fox Factory XTR,2019,YT,Capra,3200,USD,Excellent - Lightly Ridden,XXL,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3362260/
2019 Transition Patrol AL GX Large,2019,Transition,Patrol,2500,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3739049/
2017 Specialized Women's Epic HT Comp Carbon.,2017,Specialized,Epic,2000,USD,Excellent - Lightly Ridden,M,29,0 mm (Rigid),0 mm (Hardtail),Carbon Fiber,,https://www.pinkbike.com/buysell/3160798/
2020 Commencal Meta AM 29 M,2020,Commencal,Meta AM,3000,USD,"Good - Used, Mechanically Sound",M,29,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3699796/
2019 XL Orbea Rallon M-10 w/Major Upgrades,2019,Orbea,Rallon,2500,USD,Excellent - Lightly Ridden,XL,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3730513/
2022 Yeti SB165 T3 Large,2022,Yeti,SB165,4200,USD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3727397/
"2021 Yeti sb 150, medium",2021,Yeti,SB 150,4500,USD,Excellent - Lightly Ridden,18,29,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3734738/
2018 Rocky Mountain Altitude A70 Custom Build,2018,Rocky Mountain,Altitude,1877,CAD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3714218/
2021 Commencal Meta Tr 29,2021,Commencal,Meta TR,2600,USD,Excellent - Lightly Ridden,L,29,150 mm,140 mm,Aluminium,,https://www.pinkbike.com/buysell/3686965/
2023 Norco Sight C 29 Large Grey/Green,2023,Norco,Sight,5502,CAD,"Good - Used, Mechanically Sound",L,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3737787/
2021 Scott Ransom 920,2021,Scott,Ransom,2500,USD,"Good - Used, Mechanically Sound",M,29,170 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3631261/
2022 YETI SB 165 FRAME SRAM X0 CRANKS(New),2022,Yeti,SB 165,2899,USD,Excellent - Lightly Ridden,M,27.5 / 650B,180 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3736193/
2019 Ibis Ripmo - Large - Full Kardashian Build,2019,Ibis,Ripmo,5000,USD,Excellent - Lightly Ridden,L,29,160 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3467289/
2021 Transition Patrol carbon GX,2021,Transition,Patrol,2500,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3437259/
2022 Commencal Clash,2022,Commencal,Clash,4000,USD,"Good - Used, Mechanically Sound",XL,27.5 / 650B,180 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3478986/
2018 Banshee Rune v2 27.5,2018,Banshee,Rune,2100,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3737283/
2020 Transition Patrol Carbon Large,2020,Transition,Patrol,2700,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3614965/
2022 Ibis Ripmo Carbon Large,2022,Ibis,Ripmo,4800,USD,Excellent - Lightly Ridden,L,29,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3683013/
2022 Specialized Enduro S4,2022,Specialized,Enduro,4200,USD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3736933/
2022 Juliana Roubion carbon C S build. Size XS,2022,Juliana,Roubion,4200,USD,Excellent - Lightly Ridden,XS,27.5 / 650B,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3694744/
2021 Pivot Firebird,2021,Pivot,Firebird,5900,USD,Excellent - Lightly Ridden,M,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3736658/
2021 Evil Offering V1,2021,Evil,Offering,5000,USD,Excellent - Lightly Ridden,L,29,160 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3709370/
2020 Yt Capra Elite M,2020,YT,Capra,4000,USD,Excellent - Lightly Ridden,M,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3286333/
2022 Santa Cruz Bronson,2022,Santa Cruz,Bronson,4000,USD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3338040/
2020 Giant Reign advanced Pro 1,2020,Giant,Reign,4000,USD,"Good - Used, Mechanically Sound",M,29,160 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3736310/
2018 Cannondale Jekyll large 27.5 bling parts,2018,Cannondale,Jekyll,2500,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3732570/
2015 Devinci troy RR,2015,Devinci,Troy,1500,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,150 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3697423/
2020 Giant Reign 29er Large Excellent Condition,2020,Giant,Reign,2300,USD,Excellent - Lightly Ridden,L,29,160 mm,153 mm,Aluminium,,https://www.pinkbike.com/buysell/3662554/
2018 Santa Cruz Nomad Carbon,2018,Santa Cruz,Nomad,3500,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,180 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3724858/
2017 Specialized S-Works Enduro Great Bike!,2017,Specialized,Enduro,2100,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3736024/
2022 Trek SLASH 9.7,2022,Trek,Slash,5600,USD,Excellent - Lightly Ridden,L,29,180 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3733516/
2022 YETI SB165 T2 large,2022,Yeti,SB165,5500,USD,Excellent - Lightly Ridden,L,27.5 / 650B,180 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3500974/
2022 Yeti sb140,2022,Yeti,SB140,4500,USD,Excellent - Lightly Ridden,M,27.5 / 650B,140 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3696150/
2021 Revel rail 27.5,2021,Revel,Rail,2850,USD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3735829/
2019 Rocky Mountain Pipeline C70,2019,Rocky Mountain,Pipeline,2550,USD,Excellent - Lightly Ridden,M,27.5 / 650B,150 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3687931/
2018 Giant Reign 2,2018,Giant,Reign,2061,CAD,Excellent - Lightly Ridden,L,27.5 / 650B,160 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3735369/
2016 M Norco Sight,2016,Norco,Sight,883,CAD,"Good - Used, Mechanically Sound",M,27.5 / 650B,140 mm,140 mm,Aluminium,,https://www.pinkbike.com/buysell/3735326/
2022 Specialized Enduro Expert,2022,Specialized,Enduro,3500,USD,"Good - Used, Mechanically Sound",XL,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3735266/
2022 Trek Slash,2022,Trek,Slash,4342,CAD,New - Unridden/With Tags,L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3735196/
2017 Ibis Mojo HD 27.5 medium,2017,Ibis,Mojo,2100,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3735152/
2021 Kona Process 153DL,2021,Kona,Process 153,2355,CAD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3708758/
2021 Specialized Enduro,2021,Specialized,Enduro,5500,USD,"Good - Used, Mechanically Sound",M,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3734983/
2019 Rocky Mountain Altitude,2019,Rocky Mountain,Altitude,2760,CAD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3723079/
2021 “WOW” IBIS RIPMO V1 LARGE,2021,Ibis,Ripmo,4195,USD,Excellent - Lightly Ridden,L,29,160 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3697629/
"2018 YT Capra Carbon 29"" Large",2018,YT,Capra,2300,USD,"Good - Used, Mechanically Sound",L,29,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3734453/
2017 Trek Remedy 9 Race Shop Limited 19.5 inch frame,2017,Trek,Remedy,2208,CAD,"Good - Used, Mechanically Sound",19.5,27.5 / 650B,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3706334/
2021 Specialized Enduro,2021,Specialized,Enduro,1400,USD,Excellent - Lightly Ridden,L,29,140 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3734109/
2016 Banshee Rune V2 LRG,2016,Banshee,Rune,1700,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3693091/
2020 yeti sb 165,2020,Yeti,SB 165,3900,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,180 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3724077/
2021 Norco Sight C1 Ultimate XX1 w/ AXS options,2021,Norco,Sight,3679,CAD,Excellent - Lightly Ridden,XL,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3367077/
2021 Santa Cruz Nomad (ox blood),2021,Santa Cruz,Nomad,5200,USD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3547250/
2021 Transition Patrol Size M,2021,Transition,Patrol,3300,USD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3631096/
2017 Specialized FSR Stumpjumper,2017,Specialized,Stumpjumper,1600,USD,Excellent - Lightly Ridden,L,27.5 / 650B,150 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3723939/
2021 Specialized S-Works Stumpjumper Evo,2021,Specialized,Stumpjumper,5000,USD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3236032/
2022 KNOLLY FUGITIVE 138 SIZE LARGE,2022,Knolly,Fugitive,4500,USD,"Good - Used, Mechanically Sound",L,29,160 mm,140 mm,Aluminium,,https://www.pinkbike.com/buysell/3685005/
2018 Kona process 153AL XL frame,2018,Kona,Process 153,2722,CAD,Excellent - Lightly Ridden,XL,29,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3725506/
2021 Trek Remedy 9.8 w/ upgrades (inc. Bluetooth shifting!),2021,Trek,Remedy,4000,USD,Excellent - Lightly Ridden,XL,27.5 / 650B,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3732802/
2021 Specialized Stumpjumper Alloy Comp - S2,2021,Specialized,Stumpjumper,2800,USD,Excellent - Lightly Ridden,S,29,140 mm,130 mm,Aluminium,,https://www.pinkbike.com/buysell/3732660/
2020 Cannondale Jekyll 3 29er,2020,Cannondale,Jekyll,2000,USD,"Good - Used, Mechanically Sound",L,29,150 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3732585/
2021 Santa Cruz Nomad V5 CC medium custom build,2021,Santa Cruz,Nomad,4000,USD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3512814/
2020 Rocky Mountain Slayer C70,2020,Rocky Mountain,Slayer,2900,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,180 mm,180 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3677431/
2020 Commencal Meta AM 29 (large) -,2020,Commencal,Meta AM,1900,USD,"Good - Used, Mechanically Sound",L,29,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3606159/
2021 Commencal Meta AM,2021,Commencal,Meta AM,2981,CAD,Excellent - Lightly Ridden,M,29,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3717313/
2021 Transition Sentinel XT M,2021,Transition,Sentinel,4000,USD,Excellent - Lightly Ridden,M,29,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3479380/
2018 Norco Range A2,2018,Norco,Range,1472,CAD,"Good - Used, Mechanically Sound",M,29,150 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3732186/
"2022 Yeti SB 165 C2 Factory Built like new, size Large",2022,Yeti,SB 165,6550,CAD,Excellent - Lightly Ridden,L,27.5 / 650B,180 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3607430/
2023 Rocky Mountain Altitude C50,2023,Rocky Mountain,Altitude,4306,CAD,New - Unridden/With Tags,M,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3732053/
2019 santa cruz bronson c gx reserve,2019,Santa Cruz,Bronson,3643,CAD,Excellent - Lightly Ridden,XL,27.5 / 650B,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3731872/
2017 Best Deal Carbon Santa Cruz Nomad Enve wheelset,2017,Santa Cruz,Nomad,2500,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3636359/
2020 Transition Sentinel,2020,Transition,Sentinel,2208,CAD,"Good - Used, Mechanically Sound",M,29,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3727446/
"2022 Ibis Ripmo AF SLX, Large, Fox Float X2",2022,Ibis,Ripmo,2850,USD,Excellent - Lightly Ridden,L,29,160 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3541465/
2022 LIKE NEW Kona Honzo SMALL FRAME,2022,Kona,Honzo,1150,USD,Excellent - Lightly Ridden,S,26,60 mm,80 mm,Aluminium,,https://www.pinkbike.com/buysell/3731355/
2016 INTENSE TRACER T275 PALMER EDITION LARGE,2016,Intense,Tracer,2134,CAD,Excellent - Lightly Ridden,L,27.5 / 650B,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3416907/
2018 Specialized Enduro Coil 29,2018,Specialized,Enduro,2500,USD,"Good - Used, Mechanically Sound",XL,29,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3427081/
2019 Diamondback Release 3 Large,2019,Diamondback,Release,1600,USD,"Good - Used, Mechanically Sound",19,27.5 / 650B,150 mm,130 mm,Aluminium,,https://www.pinkbike.com/buysell/3724372/
2021 Commencal Clash Ride,2021,Commencal,Clash,2400,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,180 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3730404/
2016 Kona process 153 medium frame,2016,Kona,Process 153,2800,USD,Excellent - Lightly Ridden,M,27.5 / 650B,160 mm,153 mm,Aluminium,,https://www.pinkbike.com/buysell/3564528/
2021 Trek Remedy 8,2021,Trek,Remedy,2800,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3730161/
2019 YT Capra,2019,YT,Capra,1987,CAD,"Good - Used, Mechanically Sound",XL,29,160 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3730142/
2017 Banshee Rune V2,2017,Banshee,Rune,2500,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,160 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3718727/
2020 Pivot Switchblade Team XTR (XL),2020,Pivot,Switchblade,5500,USD,Excellent - Lightly Ridden,XL,29,160 mm,143 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3729812/
2017 transition smuggler,2017,Transition,Smuggler,1400,USD,"Good - Used, Mechanically Sound",M,29,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3619628/
2013 Rocky Mountain Altitude 730 size XL,2013,Rocky Mountain,Altitude,773,CAD,"Good - Used, Mechanically Sound",XL,27.5 / 650B,150 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3729504/
2020 Rocky Mountain Altitude Alloy 30,2020,Rocky Mountain,Altitude,2300,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,155 mm,Aluminium,,https://www.pinkbike.com/buysell/3566683/
2022 Ibis Ripmo AF XL new carbon Stans wheels,2022,Ibis,Ripmo,3500,USD,"Good - Used, Mechanically Sound",XL,29,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3325019/
"2021 Norco Sight A1 Medium 29""",2021,Norco,Sight,2944,CAD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3665394/
2018 Orbea Rallon large w linkage upgrade,2018,Orbea,Rallon,2700,USD,"Good - Used, Mechanically Sound",L,29,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3729082/
2020 Small Scott Ransom 930,2020,Scott,Ransom,2750,USD,"Good - Used, Mechanically Sound",S,29,170 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3729019/
2019 Ibis Mojo HD4,2019,Ibis,Mojo,3250,USD,Excellent - Lightly Ridden,M,27.5 / 650B,160 mm,153 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3339948/
2023 ‘23 Specialized Status 160 S4,2023,Specialized,Status,2300,USD,Excellent - Lightly Ridden,L,27.5 / 650B,160 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3728808/
2020 Pivot switchblade xtr,2020,Pivot,Switchblade,4490,USD,"Good - Used, Mechanically Sound",M,29,160 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3728794/
2021 PIVOT FIREBIRD R29 LARGE SIZE,2021,Pivot,Firebird,4500,USD,Excellent - Lightly Ridden,L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3558183/
2020 Canyon Torque 9.0 CF,2020,Canyon,Torque,4500,USD,Excellent - Lightly Ridden,L,27.5 / 650B,180 mm,180 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3694616/
2019 Trek Slash 9.9,2019,Trek,Slash,2500,USD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3606889/
2016 Norco Range A7.2 Large,2016,Norco,Range,1325,CAD,Excellent - Lightly Ridden,L,27.5 / 650B,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3717637/
2021 Scott Genius 950,2021,Scott,Genius,3600,USD,"Good - Used, Mechanically Sound",L,29,160 mm,145 mm,Aluminium,,https://www.pinkbike.com/buysell/3728328/
2018 Specialized Enduro Elite XL,2018,Specialized,Enduro,2355,CAD,"Good - Used, Mechanically Sound",XL,29,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3696416/
2023 norco sight a1 medium 29,2023,Norco,Sight,3386,CAD,Excellent - Lightly Ridden,M,29,160 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3677835/
2023 Trek Slash 7,2023,Trek,Slash,2700,USD,Excellent - Lightly Ridden,M,29,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3656649/
