Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2020 Marin Hawkhill 1,2020,Ari,NoModelFound,1030,CAD,"Good - Used, Mechanically Sound",M,27.5 / 650B,130 mm,120 mm,Aluminium,model,https://www.pinkbike.com/buysell/3753636/
2019 fuji reveal 1.3 medium frame,2019,NoManufacturer,NoModelFound,1000,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,120 mm,120 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3753522/
2015 Giant Liv Intrigue 2,2015,Liv,NoModelFound,662,CAD,Excellent - Lightly Ridden,M,27.5 / 650B,140 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3753415/
2016 Specialized Stump Jumper Large Frame,2016,Specialized,NoModelFound,1400,USD,"Good - Used, Mechanically Sound",L,29,140 mm,120 mm,Aluminium,model,https://www.pinkbike.com/buysell/3647093/
"2019 Giant Trance 2 29"" , Medium",2019,Giant,NoModelFound,1600,USD,"Good - Used, Mechanically Sound",M,29,130 mm,120 mm,Aluminium,model,https://www.pinkbike.com/buysell/3743238/
2016 LaPierre Raid FX+ Full Suspension SMALL 27.5 Trail MTB,2016,NoManufacturer,NoModelFound,600,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,120 mm,120 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3753039/
2017 Intense Recluse - Medium,2017,Intense,NoModelFound,2000,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3649077/
2016 Giant Trance 3,2016,Giant,NoModelFound,700,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,140 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3711445/
"2018 Yeti SB5 Beti TURQ X01 Eagle Bike, size small",2018,Yeti,NoModelFound,3500,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,150 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3751570/
2023 Stumpjumer Pro - S4,2023,NoManufacturer,NoModelFound,4700,USD,Excellent - Lightly Ridden,L,29,140 mm,130 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3744992/
2017 Giant Trance 2,2017,Giant,NoModelFound,1619,CAD,"Good - Used, Mechanically Sound",L,27.5 / 650B,140 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3748987/
2019 Stumpjumper FSR Comp,2019,NoManufacturer,NoModelFound,2200,USD,Excellent - Lightly Ridden,M,29,150 mm,140 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3634069/
"2022 YT Jeffsey, 29""",2022,YT,NoModelFound,3100,USD,Excellent - Lightly Ridden,L,29,150 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3703099/
Santa Cruz Nomad,,Santa Cruz,Nomad,1067,CAD,Excellent - Lightly Ridden,S,26,,,Carbon Fiber,year,https://www.pinkbike.com/buysell/3601959/
2023 Knolly Tyaughton,2023,Knolly,NoModelFound,4500,USD,Excellent - Lightly Ridden,S,29,160 mm,0 mm (Hardtail),Steel,model,https://www.pinkbike.com/buysell/3619357/
2020 Yeti Cycles Sb115,2020,Yeti,NoModelFound,3500,USD,"Good - Used, Mechanically Sound",L,29,140 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3747526/
2019 Kona HeiHei Trail Cr XS,2019,Kona,NoModelFound,2950,USD,Excellent - Lightly Ridden,XS,27.5 / 650B,140 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3725171/
2018 Specialized s-works camber med,2018,Specialized,NoModelFound,4000,USD,Excellent - Lightly Ridden,M,29,120 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3746670/
2022 Raaw Jibb Size large,2022,NoManufacturer,NoModelFound,3500,USD,Excellent - Lightly Ridden,L,29,160 mm,135 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3648835/
2021 Siskiu T8 - A fully upgraded T8,2021,NoManufacturer,NoModelFound,3380,USD,"Good - Used, Mechanically Sound",XL,29,140 mm,135 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3737383/
2004 TREK 8000 17 inch frame,2004,Trek,NoModelFound,180,USD,Excellent - Lightly Ridden,17,26,80 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3716067/
Giant Stance Mountain Bike Medium,,Giant,Stance,950,USD,Excellent - Lightly Ridden,M,27.5 / 650B,150 mm,,Aluminium,year,https://www.pinkbike.com/buysell/3748735/
2009 Norc XXXX,2009,NoManufacturer,NoModelFound,736,CAD,"Good - Used, Mechanically Sound",M,26,120 mm,100 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3666503/
2015 MTB-Giant Liv XSMALL,2015,Giant,NoModelFound,1214,CAD,Excellent - Lightly Ridden,XS,27.5 / 650B,140 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3747871/
2020 Stumpjumper EVO Pro 27.5,2020,NoManufacturer,NoModelFound,3100,USD,Excellent - Lightly Ridden,L,27.5 / 650B,150 mm,140 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3521021/
"2016 Specialized Pitch 27.5""",2016,Specialized,NoModelFound,500,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3746997/
