Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
1980's StumpJumper in amazing condition,1980,NoManufacturer,NoModelFound,1300,USD,Excellent - Lightly Ridden,M,26,0 mm (Rigid),0 mm (Hardtail),Chromoly,manufacturer,https://www.pinkbike.com/buysell/3782813/
Merlin Oreas,,NoManufacturer,NoModelFound,1400,USD,Excellent - Lightly Ridden,M,26,110 mm,0 mm (Hardtail),Titanium,year,https://www.pinkbike.com/buysell/3782818/
2017 OPEN 1.1 Hardtail XC Race Bike,2017,NoManufacturer,NoModelFound,1700,USD,"Good - Used, Mechanically Sound",XL,29,110 mm,0 mm (Hardtail),Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3030505/
2021 Stumpjumper evo size m,2021,NoManufacturer,NoModelFound,5300,USD,Excellent - Lightly Ridden,M,29,150 mm,110 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3310714/
2019 Cannondale Carbon F-Si 5,2019,Cannondale,NoModelFound,1500,USD,Excellent - Lightly Ridden,M,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3075988/
"2020 S-Works Epic EVO XTR, XL",2020,NoManufacturer,NoModelFound,3000,USD,"Good - Used, Mechanically Sound",XL,29,120 mm,110 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3824096/
"2019 Yeti SB100 - Large - SRAM X01, Fox Factory, DT Swiss",2019,Yeti,NoModelFound,3600,USD,Excellent - Lightly Ridden,L,29,120 mm,100 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3625983/
2022 Niner Air 9 RDO,2022,Niner,NoModelFound,4300,USD,Excellent - Lightly Ridden,M,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3752207/
2007 Cannondale Rush Lefty Carbon,2007,Cannondale,NoModelFound,950,USD,"Good - Used, Mechanically Sound",L,26,110 mm,110 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3437802/
2016 Cannondale FSI Carbon XT,2016,Cannondale,NoModelFound,1500,USD,Excellent - Lightly Ridden,XL,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3772173/
