Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2017 Gunnar Rockhound - 22”,2017,NoManufacturer,NoModelFound,1900,USD,"Good - Used, Mechanically Sound",22,29,110 mm,0 mm (Hardtail),Steel,manufacturer,https://www.pinkbike.com/buysell/3618024/
2015 Specialized Camber FSR Comp Carbon Mountain Bike,2015,Specialized,NoModelFound,2200,USD,Excellent - Lightly Ridden,L,29,110 mm,110 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3778278/
2015 Specialized Camber Comp Carbon,2015,Specialized,NoModelFound,2000,USD,"Good - Used, Mechanically Sound",M,29,120 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3761539/
2014 Rocky Mountain 770 carbon,2014,Rocky Mountain,NoModelFound,1582,CAD,Excellent - Lightly Ridden,17.5,27.5 / 650B,150 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3767085/
2014 Specialized Camber w/ upgrades,2014,Specialized,NoModelFound,1000,USD,"Good - Used, Mechanically Sound",M,29,110 mm,110 mm,Aluminium,model,https://www.pinkbike.com/buysell/3774141/
Purple Overload Litespeed Unicoi,,Litespeed,NoModelFound,4500,USD,Excellent - Lightly Ridden,18,26,60 mm,,Titanium,year,https://www.pinkbike.com/buysell/3774084/
2016 Felt Nine FRD carbon hardtail (size XL),2016,Felt,NoModelFound,2500,USD,"Good - Used, Mechanically Sound",22,29,120 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/2662705/
1996 ProFlex 756 Girvin Fork Risse Genesis Dampers,1996,NoManufacturer,NoModelFound,325,USD,"Good - Used, Mechanically Sound",20,26,,,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3636270/
2008 Santa Cruz Superlight,2008,Santa Cruz,NoModelFound,600,USD,"Good - Used, Mechanically Sound",L,26,100 mm,100 mm,Aluminium,model,https://www.pinkbike.com/buysell/3771778/
2023 Walt Works Steel 29er,2023,NoManufacturer,NoModelFound,3200,USD,Excellent - Lightly Ridden,,29,0 mm (Rigid),0 mm (Hardtail),Steel,manufacturer,https://www.pinkbike.com/buysell/3772810/
"Diamondback Sorrento 22"" Frame",,Diamondback,NoModelFound,92,CAD,"Good - Used, Mechanically Sound",22,26,80 mm,0 mm (Hardtail),Aluminium,year,https://www.pinkbike.com/buysell/3769793/
2023 Specialized Epic Expert,2023,Specialized,Epic,5900,USD,New - Unridden/With Tags,M,29,,,Carbon Fiber,front travel,https://www.pinkbike.com/buysell/3747797/
2013 BH Ultimate medium carbon fiber,2013,NoManufacturer,NoModelFound,2000,USD,Excellent - Lightly Ridden,M,29,100 mm,0 mm (Hardtail),Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3772389/
Surly Krampus / Custom Build / 29+,,Surly,Krampus,1750,USD,Excellent - Lightly Ridden,M,29,0 mm (Rigid),0 mm (Hardtail),Chromoly,year,https://www.pinkbike.com/buysell/3379729/
2017 Juliana Fertado,2017,Juliana,NoModelFound,2400,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,140 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3771716/
2022 Pivot Mach 4SL (New Old Stock),2022,Pivot,NoModelFound,5999,USD,New - Unridden/With Tags,M,29,120 mm,100 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3762131/
2010 Nice!!! Dekerf Solitaire single speed,2010,NoManufacturer,NoModelFound,1500,USD,"Good - Used, Mechanically Sound",M,26,100 mm,0 mm (Hardtail),Steel,manufacturer,https://www.pinkbike.com/buysell/1731305/
2012 Salsa Fargo Medium Steel Frame,2012,Salsa,NoModelFound,1750,USD,"Good - Used, Mechanically Sound",M,29,0 mm (Rigid),0 mm (Hardtail),Steel,model,https://www.pinkbike.com/buysell/3706200/
Focus Raven 29er Hardtail M/L - would trade,,NoManufacturer,NoModelFound,2250,USD,"Good - Used, Mechanically Sound",55cm,29,100 mm,0 mm (Hardtail),Carbon Fiber,year,https://www.pinkbike.com/buysell/3731162/
