Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2022 SCOTT SPARK RC 900,2022,Scott,Spark,4000,USD,Excellent - Lightly Ridden,L,29,120 mm,110 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3844547/
2014 Rocky Mountain Slayer,2014,Rocky Mountain,Slayer,437,CAD,Poor - Needs Servicing,L,26,170 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3884410/
2021 Pivot Switchblade Medium,2021,Pivot,Switchblade,4000,USD,Excellent - Lightly Ridden,M,29,160 mm,143 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3884408/
2022 Transition Scout Carbon XT,2022,Transition,Scout,4500,USD,Excellent - Lightly Ridden,S,27.5 / 650B,150 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3884347/
2017 Rocky Mountain Instinct BC,2017,Rocky Mountain,Instinct,2800,USD,Excellent - Lightly Ridden,M,29,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3535954/
2020 Rocky Mountain Thunderbolt BC,2020,Rocky Mountain,Thunderbolt,3900,USD,Excellent - Lightly Ridden,M,27.5 / 650B,150 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3535964/
2022 Specialized Stumpjumper EVO S4,2022,Specialized,Stumpjumper EVO,4500,USD,Excellent - Lightly Ridden,L,29,170 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3874488/
2021 Haro FlightLine kids MTB 20”,2021,Haro,Flightline,200,USD,Excellent - Lightly Ridden,XS,20,40 mm,0 mm (Hardtail),Aluminium,,https://www.pinkbike.com/buysell/3884331/
2020 Cannondale Habit SE,2020,Cannondale,Habit,3644,CAD,Excellent - Lightly Ridden,L,29,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3884322/
"2023 Trek, Fuel EX 9.8, size M/L",2023,Trek,Fuel EX,5600,USD,Excellent - Lightly Ridden,M,29,150 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3821909/
2024 Banshee Phantom V3.2 - Large,2024,Banshee,Phantom,2770,CAD,Excellent - Lightly Ridden,L,29,130 mm,120 mm,Aluminium,,https://www.pinkbike.com/buysell/3884295/
2022 NORCO OPTIC C2 MED,2022,Norco,Optic,2552,CAD,"Good - Used, Mechanically Sound",M,29,140 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3486488/
2022 NORCO OPTIC C2 SMALL,2022,Norco,Optic,2552,CAD,"Good - Used, Mechanically Sound",S,29,140 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3486463/
2021 Gt Sensor Sport,2021,GT,Sensor,1650,USD,"Good - Used, Mechanically Sound",L,29,140 mm,130 mm,Aluminium,,https://www.pinkbike.com/buysell/3785947/
2017 Kona Hei Hei Trail DL,2017,Kona,Hei Hei,2800,USD,Excellent - Lightly Ridden,M,27.5 / 650B,140 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3535948/
2017 Juliana Joplin CC Carbon w/ Carbon rims/bar/cranks,2017,Juliana,Joplin,2624,CAD,"Good - Used, Mechanically Sound",M,29,120 mm,110 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3884205/
2022 Vitus Nucleus AR 27.5 Large,2022,Vitus,Nucleus,650,USD,Excellent - Lightly Ridden,L,27.5 / 650B,120 mm,0 mm (Hardtail),Aluminium,,https://www.pinkbike.com/buysell/3882709/
2022 Santa Cruz 5010 X01 CC Large,2022,Santa Cruz,5010,4000,USD,Excellent - Lightly Ridden,L,27.5 / 650B,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3457847/
2023 Santa Cruz Hightower R / Carbon C / 29 size Large,2023,Santa Cruz,Hightower,3899,USD,New - Unridden/With Tags,L,29,150 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3715342/
2015 Jamis Dakar XCT Team small,2015,Jamis,Dakar,750,USD,Excellent - Lightly Ridden,15,27.5 / 650B,120 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3621848/
2019 IBIS Ripmo. V1 Large,2019,Ibis,Ripmo,3645,CAD,"Good - Used, Mechanically Sound",L,29,160 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3095198/
2020 Giant Reign 29 Medium,2020,Giant,Reign,1700,USD,"Good - Used, Mechanically Sound",M,29,160 mm,145 mm,Aluminium,,https://www.pinkbike.com/buysell/3848643/
2022 Cannondale Habit 4 - Rode 4 times & Upgraded Rims,2022,Cannondale,Habit,2000,USD,Excellent - Lightly Ridden,M,29,140 mm,130 mm,Aluminium,,https://www.pinkbike.com/buysell/3846921/
2020 medium specialized rockhopper,2020,Specialized,Rockhopper,450,USD,"Good - Used, Mechanically Sound",M,29,100 mm,0 mm (Hardtail),Aluminium,,https://www.pinkbike.com/buysell/3883717/
2023 Specialized Stumpjumper Evo,2023,Specialized,Stumpjumper EVO,2624,CAD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3883703/
2019 Juliana Furtado Carbon Small,2019,Juliana,Furtado,3000,USD,Excellent - Lightly Ridden,S,27.5 / 650B,130 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3883676/
2022 Rocky Mountain Altitude,2022,Rocky Mountain,Altitude,2900,USD,"Good - Used, Mechanically Sound",L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3698484/
2022 Giant Trance X Advanced CUSTOM,2022,Giant,Trance X,4000,USD,"Good - Used, Mechanically Sound",M,29,150 mm,135 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3811440/
2022 Trek Fuel EX 9.8 GX AXS Project One,2022,Trek,Fuel EX,4000,USD,Excellent - Lightly Ridden,18.5,29,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3754468/
