Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2023 Yt Capra core 4 medium mullet,2023,YT,Capra,4600,USD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3872932/
2018 Knolly Warden small carbon,2018,Knolly,Warden,2041,CAD,Excellent - Lightly Ridden,S,27.5 / 650B,160 mm,155 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3453850/
2021 Santa Cruz Nomad CC X01 DISCOUNTED!,2021,Santa Cruz,Nomad,4250,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3820454/
2022 Revel Rail 29  Small,2022,Revel,Rail,3900,USD,"Good - Used, Mechanically Sound",S,29,160 mm,155 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3873615/
"2022 Santa Cruz Nomad c 5 22-23 Large, Custom build 32.5lbs",2022,Santa Cruz,Nomad,4100,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3798096/
2021 Commencal Meta AM 29 Öhlins Edition w/ Nice Upgrades,2021,Commencal,Meta AM,3000,USD,Excellent - Lightly Ridden,L,29,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3561667/
2022 Scott Ransom 920,2022,Scott,Ransom,2187,CAD,Excellent - Lightly Ridden,M,29,170 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3717216/
2023 Intense Tracer S,2023,Intense,Tracer,3100,USD,"Good - Used, Mechanically Sound",L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3817126/
2020 Rocky Mountain Slayer,2020,Rocky Mountain,Slayer,2151,CAD,Excellent - Lightly Ridden,M,29,170 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3863041/
2016 Norco Range A7.1 - 27.5 size medium,2016,Norco,Range,1531,CAD,"Good - Used, Mechanically Sound",M,27.5 / 650B,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3652767/
2022 Trek Slash 8,2022,Trek,Slash,2200,USD,"Good - Used, Mechanically Sound",XL,29,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3824306/
2019 Fully upgraded kona process 153,2019,Kona,Process 153,3000,USD,Excellent - Lightly Ridden,M,27.5 / 650B,160 mm,153 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3858559/
2018 Giant Reign Advanced - Carbon - S,2018,Giant,Reign,1823,CAD,Excellent - Lightly Ridden,S,27.5 / 650B,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3873457/
2018 Canyon Torque CF,2018,Canyon,Torque,3250,USD,Excellent - Lightly Ridden,S,27.5 / 650B,180 mm,180 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3290833/
2021 Santa Cruz Nomad CC XO1 Eagle AXS RSV - Medium,2021,Santa Cruz,Nomad,4500,USD,Excellent - Lightly Ridden,M,27.5 / 650B,180 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3873182/
2020 Norco Sight C3,2020,Norco,Sight,1823,CAD,"Good - Used, Mechanically Sound",M,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3593511/
2020 Specialized Enduro XL,2020,Specialized,Enduro,3400,USD,"Good - Used, Mechanically Sound",XL,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3511354/
2018 Rocky Mountain Altitude C50 Large Custom Enduro,2018,Rocky Mountain,Altitude,2552,CAD,Excellent - Lightly Ridden,L,27.5 / 650B,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3278722/
2021 Chromag Rootdown,2021,Chromag,Rootdown,1750,CAD,Excellent - Lightly Ridden,L,29,160 mm,0 mm (Hardtail),Chromoly,,https://www.pinkbike.com/buysell/3490508/
2022 YETI SB165 T3  AXS,2022,Yeti,SB165,13500,USD,Excellent - Lightly Ridden,S,27.5 / 650B,180 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3678770/
2022 Large Fox Factory/i9 Hydras Knolly Warden LT,2022,Knolly,Warden,2770,CAD,"Good - Used, Mechanically Sound",L,27.5 / 650B,170 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3862241/
2022 Santa Cruz Nomad,2022,Santa Cruz,Nomad,4374,CAD,"Good - Used, Mechanically Sound",L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3869856/
2018 Rocky mountain Altitude Carbon c50,2018,Rocky Mountain,Altitude,1531,CAD,"Good - Used, Mechanically Sound",XS,27.5 / 650B,150 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3858348/
2018 Banshee Rune V2,2018,Banshee,Rune,2000,USD,Excellent - Lightly Ridden,L,27.5 / 650B,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3443274/
2019 Trek Slash 8,2019,Trek,Slash,2000,USD,"Good - Used, Mechanically Sound",M,29,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3380104/
2018 Pivot Mach 6 Large MX wheel,2018,Pivot,Mach 6,2800,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,155 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3870968/
2020 Yeti SB165 Medium great condition - (NEW PRICE),2020,Yeti,SB165,3350,USD,Excellent - Lightly Ridden,M,27.5 / 650B,180 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3859689/
2022 Norco Range XL (PRICE DROP),2022,Norco,Range,3000,USD,"Good - Used, Mechanically Sound",XL,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3780874/
2022 Pivot Cycles Mach 6 Pro X01 Coil,2022,Pivot,Mach 6,4000,USD,Excellent - Lightly Ridden,M,27.5 / 650B,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3869467/
2019 Norco Range,2019,Norco,Range,2078,CAD,"Good - Used, Mechanically Sound",L,27.5 / 650B,180 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3723109/
2019 Commencal Meta HT AM Race,2019,Commencal,Meta HT,1099,USD,"Good - Used, Mechanically Sound",S,29,150 mm,0 mm (Hardtail),Aluminium,,https://www.pinkbike.com/buysell/3753317/
2020 Ibis Ripmo AF NX DVO,2020,Ibis,Ripmo,2500,USD,Excellent - Lightly Ridden,XL,29,160 mm,145 mm,Aluminium,,https://www.pinkbike.com/buysell/3759400/
2021 PRICE DROP - Banshee Rune V3 - Small - 27.5,2021,Banshee,Rune,3800,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,180 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3457650/
2022 Santa Cruz 5010 M 26/ 27.5 Cascade linkage,2022,Santa Cruz,5010,4119,CAD,"Good - Used, Mechanically Sound",M,27.5 / 650B,150 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3846360/
2020 REEB Sqweeb V3 size MEDIUM,2020,Reeb,Sqweeb,2750,USD,"Good - Used, Mechanically Sound",M,29,150 mm,130 mm,Aluminium,,https://www.pinkbike.com/buysell/3868317/
2022 Transition Spire M 170/170 travel,2022,Transition,Spire,3000,USD,Excellent - Lightly Ridden,M,29,170 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3846342/
2020 Custom Santa Cruz Megatower CC Large AXS Push Hydra,2020,Santa Cruz,Megatower,3250,USD,"Good - Used, Mechanically Sound",L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3850150/
2015 Santa Cruz 5010,2015,Santa Cruz,5010,1900,USD,Excellent - Lightly Ridden,M,27.5 / 650B,130 mm,130 mm,Aluminium,,https://www.pinkbike.com/buysell/3684978/
2022 Intense Tracer S,2022,Intense,Tracer,4739,CAD,Excellent - Lightly Ridden,L,27.5 / 650B,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3815599/
2019 Kona Big Honzo ST,2019,Kona,Honzo,1100,USD,"Good - Used, Mechanically Sound",M,29,150 mm,0 mm (Hardtail),Steel,,https://www.pinkbike.com/buysell/3711897/
2022 Rocky Mountain Altitude A70 Coil 27.5 Medium,2022,Rocky Mountain,Altitude,3400,USD,New - Unridden/With Tags,M,27.5 / 650B,170 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3747494/
2020 Rocky mountain Slayer C90 medium,2020,Rocky Mountain,Slayer,2916,CAD,Excellent - Lightly Ridden,M,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3653668/
2021 Transition Sentinel XO/GX,2021,Transition,Sentinel,3000,USD,"Good - Used, Mechanically Sound",M,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3833765/
2019 Evil offering - size large,2019,Evil,Offering,3572,CAD,"Good - Used, Mechanically Sound",L,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3588792/
