Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review
Title,,NoManufacturer,NoModelFound,,,Price,Currency,Condition,Frame Size,Wheel Size,Front Travel,price
2022 Santa Cruz Hightower AL,2022,Santa Cruz,Hightower,2022,,2000,USD,"Good - Used, Mechanically Sound",L,"29""",150 mm,currency
2021 Trek Fuel EX 9.8 XT Gen 5,2021,Trek,Fuel EX,2021,,1885,USD,Excellent - Lightly Ridden,M,"29""",140 mm,currency
"2022 Pivot Firebird Pro X01, Small, Reynolds Carbon wheels",2022,Pivot,NoModelFound,2022,,2900,USD,Excellent - Lightly Ridden,S,"29""",170 mm,model
2021 Santa Cruz Nomad,2021,Santa Cruz,Nomad,2021,,1999,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2021 Yeti SB140 Large,2021,Yeti,SB140,2021,,2900,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
2021 Canyon Torque CF 7,2021,Canyon,Torque,2021,,2100,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",180 mm,currency
2024 Trek Slash Gen 6,2024,Trek,Slash,2024,,6000,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2022 Specialized S-Works Enduro,2022,Specialized,Enduro,2022,,3500,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2014 Kona process 111,2014,Kona,NoModelFound,2014,,750,USD,Excellent - Lightly Ridden,M,"29""",120 mm,model
2019 Canyon Spectral CF 7.0,2019,Canyon,Spectral,2019,,1690,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2021 Transition Patrol,2021,Transition,Patrol,2021,,3500,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2021 Intense Tracer 275 - Custom Build,2021,Intense,Tracer,2021,,3000,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2022 Trek Slash 8,2022,Trek,Slash,2022,,2500,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2020 Knolly Fugitive LT full custom build UPDATED,2020,Knolly,Fugitive,2020,,2999,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2022 Commencal Clash,2022,Commencal,Clash,2022,,2300,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",180 mm,currency
2019 Evil offering - size large,2019,Evil,Offering,2019,,4900,CAD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2023 Transition Spire Large - GX TRP Build,2023,Transition,Spire,2023,,4200,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2022 Kona Process X CR/DL AXS XL,2022,Kona,Process X,2022,,2900,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
"2022 Norco Sight C2, L",2022,Norco,Sight,2022,,4000,CAD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 Rocky Mountain Altitude C90 Rally Edition,2022,Rocky Mountain,Altitude,2022,,7500,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2022 Santa Cruz Bronson Medium,2022,Santa Cruz,Bronson,2022,,4400,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2021 Rocky Mountain Altitude - C99,2021,Rocky Mountain,Altitude,2021,,4250,CAD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2021 Meduim Specialized stumpy evo pro frame+parts.,2021,Specialized,NoModelFound,2021,,1500,USD,"Good - Used, Mechanically Sound",M,"29""",140 mm,model
2022 Kona Process X Mullet— all new 2024 parts,2022,Kona,Process X,2022,,3500,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2022 WR1 UDH MX Arrival - Medium,2022,WR1,Arrival,2022,,7500,CAD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2022 Yeti SB150 T2 Large All NEW Parts,2022,Yeti,SB150,2022,,4000,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2017 Guerilla Gravity Megatrail [PRICE DROP],2017,NoManufacturer,Rail,2017,,1600,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,manufacturer
2019 Transition Patrol - Heavily Upgraded Components,2019,Transition,Patrol,2019,,2499,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2016 Small frame SB6C XT/XTR with upgrades,2016,NoManufacturer,NoModelFound,2016,,1750,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",160 mm,manufacturer
2023 Specialized Stumpjumper Evo Boutique Build,2023,Specialized,Stumpjumper EVO,2023,,5300,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2013 Specialized S-Works Enduro medium,2013,Specialized,Enduro,2013,,1400,USD,"Good - Used, Mechanically Sound",M,"26""",160 mm,currency
Propain Spindrift 4 AL 27.5”,,Propain,Spindrift,,,2199,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",180 mm,price
2020 XL Megatower C 170/160 coil custom,2020,NoManufacturer,Mega,2020,,4500,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,manufacturer
2020 Kona Process 153 CR 29 - Medium,2020,Kona,Process 153,2020,,2100,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
2023 Transition Sentinel XL,2023,Transition,Sentinel,2023,,3750,USD,"Good - Used, Mechanically Sound",XL,"29""",160 mm,currency
2022 Specialized Enduro S-Works S4,2022,Specialized,Enduro,2022,,3900,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2019 Norco Sight C Medium,2019,Norco,Sight,2019,,2500,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
2020 YT Capra Pro XL - Black Magic - Like-New,2020,YT,Capra,2020,,2700,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2022 Specialized SWorks Stumpjumper Evo S2,2022,Specialized,Stumpjumper EVO,2022,,5000,USD,Excellent - Lightly Ridden,S,"29""",160 mm,currency
2023 Transition Sentinel // AXS // Carbon Wheels,2023,Transition,Sentinel,2023,,2999,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2020 Specialized Stumpjumper EVO comp CARBON (S2 size),2020,Specialized,Stumpjumper EVO,2020,,3400,CAD,Excellent - Lightly Ridden,S,"29""",160 mm,currency
2019 Yeti SB6 Turq XT/XO build,2019,Yeti,NoModelFound,2019,,4300,CAD,Excellent - Lightly Ridden,M,"27.5"" / 650B",170 mm,model
2020 Ransom 920 XL,2020,NoManufacturer,Ransom,2020,,3300,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,manufacturer
2021 Specialized S-Works Enduro MULLET S3,2021,Specialized,Enduro,2021,,4950,USD,"Good - Used, Mechanically Sound",M,"29""",180 mm,currency
2024 Yeti SB160 T3 XO T-Type,2024,Yeti,NoModelFound,2024,,4999,USD,Excellent - Lightly Ridden,M,"29""",170 mm,model
2024 Giant Reign Advanced Custom Build,2024,Giant,Reign,2024,,5875,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2024 Yeti SB165 T3 XO Transmission Size Large Brand New,2024,Yeti,SB165,2024,,8200,USD,New - Unridden/With Tags,L,"27.5"" / 650B",170 mm,currency
2020 Rocky mountain Slayer C90 medium,2020,Rocky Mountain,Slayer,2020,,4000,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2021 Pivot Switchblade XO1,2021,Pivot,Switchblade,2021,,3700,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 V2 Ibis Ripmo XL,2022,Ibis,Ripmo,2022,,3300,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2022 Norco range size large,2022,Norco,Range,2022,,5600,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2020 Ibis Ripmo 2,2020,Ibis,Ripmo,2020,,4000,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2023 ROCKY MOUNTAIN ALTITUDE C50 *PRICE DROP*,2023,Rocky Mountain,Altitude,2023,,4500,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2023 Size large pivot firebird,2023,Pivot,NoModelFound,2023,,4000,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,model
2024 Santa Cruz Nomad 6 CC XL *Top Build*,2024,Santa Cruz,Nomad,2024,,7100,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
"2022 Santa Cruz Bronson CC frame, Mx",2022,Santa Cruz,Bronson,2022,,1500,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2021 Kona Process 153 Carbon Large,2021,Kona,Process 153,2021,,2100,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
"BRAND NEW Ibis HD5-AXS-FOX 38, X2, S35 Carbon/i9 Hydra",,Ibis,NoModelFound,,,4600,USD,New - Unridden/With Tags,M,"27.5"" / 650B",170 mm,price
2023 Trek Fuel EX Gen 6 XX1 AXS,2023,Trek,Fuel EX,2023,,4000,USD,Excellent - Lightly Ridden,"18.5""","29""",160 mm,currency
2021 Transition Scout XS carbon 27.5,2021,Transition,Scout,2021,,4500,USD,Excellent - Lightly Ridden,XS,"27.5"" / 650B",150 mm,currency
"2014 Trek Remedy 9 (Small) 29""",2014,Trek,Remedy,2014,,1500,CAD,Excellent - Lightly Ridden,S,"29""",140 mm,currency
2020 Norco Sight A1 (Medium),2020,Norco,Sight,2020,,2500,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2023 Santa Cruz Megatower CC XO1 Medium-upgrades,2023,Santa Cruz,Megatower,2023,,4500,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2020 Intense Carbine Foundation - Black Silver Red,2020,Intense,Carbine,2020,,3000,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2024 Propain Spindrift CF 29 MAKE AN OFFER!!,2024,Propain,Spindrift,2024,,5700,USD,Excellent - Lightly Ridden,L,"29""",190 mm,currency
2022 Scott Ransom 920,2022,Scott,Ransom,2022,,3300,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2023 Forbidden Dreadnought Full AXS Transmission,2023,Forbidden,Dreadnought,2023,,5450,CAD,Excellent - Lightly Ridden,S,"29""",170 mm,currency
Switchblade Pro XT/XTR Small,,NoManufacturer,Switchblade,,,4700,USD,Excellent - Lightly Ridden,S,"29""",160 mm,price
2020 New Custom Intense Tracer 27.5,2020,Intense,Tracer,2020,,5000,CAD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2019 Merida One-Sixty 6000 Size Large,2019,NoManufacturer,NoModelFound,2019,,2800,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,manufacturer
2024 INTENSE Tracer 279 Pro,2024,Intense,Tracer,2024,,6900,CAD,New - Unridden/With Tags,M,,170 mm,currency
2022 Evil Wreckoning Large,2022,Evil,Wreckoning,2022,,3300,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2023 *Mechanic Owned* Custom Norco Sight GX AXS,2023,Norco,Sight,2023,,5750,CAD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
2022 YT Capra Uncaged 6 (Flight Attendant) BRAND NEW,2022,YT,Capra,2022,,7000,CAD,New - Unridden/With Tags,L,"29""",170 mm,currency
2022 Giant Reign Advanced Pro 29 1(BRAND NEW),2022,Giant,Reign,2022,,5000,CAD,New - Unridden/With Tags,L,"29""",170 mm,currency
2022 Kona Honzo ESD - XL,2022,Kona,Honzo,2022,,1700,USD,Excellent - Lightly Ridden,XL,"29""",150 mm,currency
2023 We Are One Arrival 170,2023,We Are One,Arrival,2023,,5500,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2022 Large Fox Factory/i9 Hydras Knolly Warden LT,2022,Knolly,Warden,2022,,4000,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2020 Transition Patrol: Upgraded w/ new front triangle,2020,Transition,Patrol,2020,,2500,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,currency
2022 Forbidden Dreadnaught - LARGE - Custom NERDS build,2022,Forbidden,NoModelFound,2022,,5400,USD,Excellent - Lightly Ridden,L,"29""",160 mm,model
2021 Yeti SB 150,2021,Yeti,NoModelFound,2021,,4700,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,model
2023 Norco Sight custom build C2,2023,Norco,Sight,2023,,3200,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
"2020 Transition Patrol Carbon X01, Large",2020,Transition,Patrol,2020,,2800,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2023 Transition Sentinel - Large,2023,Transition,Sentinel,2023,,3500,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2023 Transition Patrol,2023,Transition,Patrol,2023,,2950,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2023 Specialized enduro custom build,2023,Specialized,Enduro,2023,,4000,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2024 Ibis Ripmo V2S,2024,Ibis,Ripmo,2024,,5000,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2020 IBIS RIPMO V2 Large,2020,Ibis,Ripmo,2020,,3000,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2020 Rocky Mountain Slayer,2020,Rocky Mountain,Slayer,2020,,3400,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2023 Norco Range C1 large,2023,Norco,Range,2023,,4499,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2020 Carbon Norco Sight - custom build,2020,Norco,Sight,2020,,2900,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2020 Santa Cruz Bronson CC X01 V3 XL-Reserve Carbon Rims,2020,Santa Cruz,Bronson,2020,,3000,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",160 mm,currency
2018 Felt Compulsion 10,2018,Felt,Compulsion,2018,,985,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,currency
2021 Commencal Meta TR Custom Build,2021,Commencal,Meta TR,2021,,3000,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2023 Excellent Condition Specialized Enduro Carbon S4,2023,Specialized,Enduro,2023,,2900,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2018 Devinci Troy Carbon,2018,Devinci,Troy,2018,,2200,CAD,Excellent - Lightly Ridden,M,"27.5"" / 650B",150 mm,currency
2021 Canfield Balance,2021,Canfield,Balance,2021,,2200,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2024 XL Kona Process X CR,2024,Kona,Process X,2024,,3800,USD,New - Unridden/With Tags,XL,"29""",170 mm,currency
2021 Norco Sight,2021,Norco,Sight,2021,,2500,CAD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",160 mm,currency
2020 Yeti SB165 Medium great condition - (REDUCED PRICE),2020,Yeti,SB165,2020,,3950,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",180 mm,currency
2019 Santa Cruz Bronson 3.0 - sz. S (Price Drop!),2019,Santa Cruz,Bronson,2019,,3450,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",150 mm,currency
2021 Santa Cruz Nomad,2021,Santa Cruz,Nomad,2021,,4900,CAD,Excellent - Lightly Ridden,L,"27.5"" / 650B",,currency
2021 Evil Wreckoning V3 - Custom Build,2021,Evil,Wreckoning,2021,,3800,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2022 We Are One Arrival 152 sp2,2022,We Are One,Arrival,2022,,5900,CAD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2018 YETI SB6 Small W/ TRP BRAKES,2018,Yeti,NoModelFound,2018,,2500,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",160 mm,model
2018 Norco Range A3,2018,Norco,Range,2018,,1995,CAD,Excellent - Lightly Ridden,XS,"27.5"" / 650B",160 mm,currency
2021 Specialized Enduro S-Works,2021,Specialized,Enduro,2021,,4300,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2023 Santa Cruz Nomad,2023,Santa Cruz,Nomad,2023,,3500,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
"2023 NEW IN BOX!!  Scott Ransom 910, Small AND Medium",2023,Scott,Ransom,2023,,3200,USD,New - Unridden/With Tags,S,"29""",170 mm,currency
2021 Canyon Spectral 29 CF 7,2021,Canyon,Spectral,2021,,3200,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2018 Transition Patrol ( upgraded susp ),2018,Transition,Patrol,2018,,2900,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",180 mm,currency
"2016 Transition Patrol Alloy, small",2016,Transition,Patrol,2016,,1250,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",160 mm,currency
2016 Transitions Patrol with upgrads,2016,Transition,Patrol,2016,,975,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2023 23' Specialized Stumpjumper Evo LTD (Size S3),2023,Specialized,Stumpjumper EVO,2023,,3500,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2021 Santa Cruz Megatower C - Large,2021,Santa Cruz,Mega,2021,,5800,CAD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2020 Medium Evil Wreckoning LB w/ Push ElevenSix,2020,Evil,Wreckoning,2020,,3200,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
"2022 YT 29"" CAPRA UNCAGED 6 (w Flight Attendant) Large",2022,YT,Capra,2022,,5200,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2023 Alpine Trail C2 Medium,2023,NoManufacturer,Trail,2023,,4000,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,manufacturer
2023 Deviate Highlander 2 - High spec,2023,Deviate,Highlander,2023,,6900,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2018 Rocky Mountain Altitude C70 - Large,2018,Rocky Mountain,Altitude,2018,,3700,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2020 Yeti SB150 Large,2020,Yeti,SB150,2020,,3400,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2022 Marin Alpine Trail XR large,2022,Ari,Alpine Trail,2022,,3800,CAD,New - Unridden/With Tags,L,"29""",160 mm,currency
2021 Rocky Mountain Altitude A30 *UPDATED*,2021,Rocky Mountain,Altitude,2021,,2000,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2023 Norco Range 2 Small,2023,Norco,Range,2023,,4000,USD,Excellent - Lightly Ridden,S,"29""",170 mm,currency
2023 Yeti SB160 T4 Large,2023,Yeti,NoModelFound,2023,,7900,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,model
"2016 Ibis Mojo HD3 w/ Custom Wheelset, Large",2016,Ibis,Mojo,2016,,1950,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2022 Specialized Stumpjumper Evo Expert S4,2022,Specialized,Stumpjumper EVO,2022,,3600,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2020 Pivot Switchblade,2020,Pivot,Switchblade,2020,,3500,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
Santa Cruz Megatower,,Santa Cruz,Mega,,,4000,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,price
2023 Santa Cruz Nomad 6 S Build Mx wheel Size Medium,2023,Santa Cruz,Nomad,2023,,5500,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2015 Rocky Mountain Instinct 950 MSL,2015,Rocky Mountain,Instinct,2015,,2500,CAD,"Good - Used, Mechanically Sound",L,"29""",140 mm,currency
2021 Specialized S-Works Enduro,2021,Specialized,Enduro,2021,,3700,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2018 Evil The Wreckoning,2018,Evil,Wreckoning,2018,,2800,CAD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
2019 Fully upgraded kona process 153,2019,Kona,Process 153,2019,,3500,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,currency
2021 Stumpjumper EVO,2021,NoManufacturer,Stumpjumper EVO,2021,,3700,CAD,Excellent - Lightly Ridden,L,"29""",160 mm,manufacturer
2017 Santa Cruz Bronson CC Medium,2017,Santa Cruz,Bronson,2017,,2000,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,currency
2022 Marin Alpine Trail 7 (Brand new drive train) Small,2022,Marin,Alpine Trail,2022,,1700,USD,"Good - Used, Mechanically Sound",S,"29""",160 mm,currency
2022 Scott Contessa Ransom 910,2022,Scott,Ransom,2022,,5000,CAD,Excellent - Lightly Ridden,S,"29""",170 mm,currency
2021 Yeti SB150 C2 with Factory Upgrade,2021,Yeti,Factor,2021,,5200,CAD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2021 Kona ESD XL,2021,Kona,NoModelFound,2021,,2300,CAD,Excellent - Lightly Ridden,XL,"29""",150 mm,model
"2022 Transition Patrol XT, Large, *NEW* shock",2022,Transition,Patrol,2022,,2800,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2018 Custom Evil Wreckoning,2018,Evil,Wreckoning,2018,,3200,CAD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2018 Specialized Turbo Levo Expert FSR Carbon Large,2018,Specialized,Turbo Levo,2018,,2775,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",150 mm,currency
2018 Trek Fuel EX 8,2018,Trek,Fuel EX,2018,,1500,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",130 mm,currency
"2021 Specialized Enduro S4 carbon, Ridewrap, like new",2021,Specialized,Nduro,2021,,4450,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2022 Niner Wfo Rdo  Size Small,2022,Niner,NoModelFound,2022,,3200,USD,Excellent - Lightly Ridden,S,"29""",180 mm,model
2022 GT Force Carbon X01 - Large,2022,GT,Force,2022,,3100,CAD,Excellent - Lightly Ridden,L,"29""",150 mm,currency
2015 Santa Cruz Nomad CC,2015,Santa Cruz,Nomad,2015,,2300,CAD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",160 mm,currency
2022 Canyon Spectral 27.5 CF8,2022,Canyon,Spectral,2022,,4500,CAD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,currency
2017 Ibis Mojo HD4,2017,Ibis,Mojo,2017,,1950,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2022 Transition Spire Large GX Build,2022,Transition,Spire,2022,,4300,USD,New - Unridden/With Tags,L,"29""",170 mm,currency
"2022 Evil Wreckoning (L), AXS, carbon wheels, and more",2022,Evil,Wreckoning,2022,,4000,USD,"Good - Used, Mechanically Sound",L,"29""",180 mm,currency
2019 Kona process 153,2019,Kona,Process 153,2019,,3100,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2021 Pivot Switchblade Race XT,2021,Pivot,Switchblade,2021,,3900,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2020 Commencal Meta 29 All Mountain,2020,Commencal,NoModelFound,2020,,2400,CAD,"Good - Used, Mechanically Sound",XL,"29""",150 mm,model
2022 We Are One Composites The Arrival 152 SP2 Push Coil,2022,We Are One,Arrival,2022,,5000,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2023 Santa Cruz Hightower 2 AL Huge Sale,2023,Santa Cruz,Hightower,2023,,2999,USD,New - Unridden/With Tags,M,"29""",150 mm,currency
2019 Canyon Torque Cf 9 Medium - Big Price Reduction!,2019,Canyon,Torque,2019,,3000,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",180 mm,currency
2021 Yeti SB130 sz M,2021,Yeti,SB130,2021,,4000,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2021 Rocky Mountain Altitude C50 NEW parts,2021,Rocky Mountain,Altitude,2021,,2499,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2023 Forbidden Dreadnought Frame,2023,Forbidden,Dreadnought,2023,,4000,USD,"Good - Used, Mechanically Sound",S,"29""",170 mm,currency
2021 PIVOT MACH 6 /SMALL,2021,Pivot,NoModelFound,2021,,4800,CAD,Excellent - Lightly Ridden,S,"27.5"" / 650B",160 mm,model
"2023 Chromag Rootdown TI - Md/Lg, XTR/XT, Fox160mm - 27.7lb",2023,Chromag,Rootdown,2023,,4995,USD,Excellent - Lightly Ridden,"18""","29""",160 mm,currency
2018 Norco C1 Range,2018,Norco,Range,2018,,2100,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2023 Deviate Claymore,2023,Deviate,Claymore,2023,,3500,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2023 Canfield Lithium Enduro-Large,2023,Canfield,Enduro,2023,,3500,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2020 Specialized - Enduro Expert - S2,2020,Specialized,Enduro,2020,,4300,CAD,"Good - Used, Mechanically Sound",S,"29""",170 mm,currency
2023 23’ IBIS Ripmo AF - Park Build,2023,Ibis,Ripmo,2023,,2800,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
"2022 Custom Evil Wreckoning V3, Medium",2022,Evil,Wreckoning,2022,,5000,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2021 Commencal Meta AM 29 *price drop*,2021,Commencal,NoModelFound,2021,,3000,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,model
2024 Pivot Mach 6 MX - Mixed Wheel,2024,Pivot,NoModelFound,2024,,6250,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,model
2023 Evil Wreckoning LS medium with carbon wheels,2023,Evil,Wreckoning,2023,,6500,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
"2023 Santa Cruz Megatower C, GX AXS RSV COIL",2023,Santa Cruz,Mega,2023,,5000,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2016 Rocky Mountain Altitude 799 MSL (M),2016,Rocky Mountain,Altitude,2016,,2000,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2019 Norco Sight - Custom Build,2019,Norco,Sight,2019,,3299,CAD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2022 Transition Spire - GX AXS - New Parts,2022,Transition,Spire,2022,,3300,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2022 LOWERD PRICE StumpyEvo LTD Ultimate Lyrik/Coil Cascade,2022,NoManufacturer,Cascade,2022,,2150,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,manufacturer
2021 Norco Sight,2021,Norco,Sight,2021,,3500,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2018 Devinci Spartan Carbon Complete Mountain Bike,2018,Devinci,Spartan,2018,,1999,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",170 mm,currency
2018 Rocky Mountain Altitude C90 - Fox DHX2,2018,Rocky Mountain,Altitude,2018,,2995,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2020 Custom Santa Cruz Megatower CC Large AXS Push Hydra,2020,Santa Cruz,Mega,2020,,3250,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2022 Trek Slash 9.8 XL,2022,Trek,Slash,2022,,3500,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2023 Forbidden druid ( udh) Large,2023,Forbidden,Druid,2023,,4000,CAD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 New Super Foxy Carbon R 60% off + hundreds in extras,2022,NoManufacturer,Foxy Carbon,2022,,3500,USD,New - Unridden/With Tags,L,"29""",170 mm,manufacturer
