Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review
2023 Trek Remedy 8 XL,2023,Trek,Remedy,2023,,2600,USD,Excellent - Lightly Ridden,XL,"27.5"" / 650B",160 mm,currency
2024 Crash replacement with tags,2024,NoManufacturer,NoModelFound,2024,,7000,USD,New - Unridden/With Tags,M,"29""",160 mm,manufacturer
2022 Pivot Firebird PRO XT/XTR Large w/ I 9,2022,Pivot,NoModelFound,2022,,6850,USD,New - Unridden/With Tags,L,"29""",170 mm,model
2020 Diamondback Release 4C,2020,Diamondback,Release,2020,,2800,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",150 mm,currency
2019 RAAW Madonna frame + extras,2019,NoManufacturer,Onna,2019,,1300,USD,"Good - Used, Mechanically Sound",XL,"29""",150 mm,manufacturer
2023 Vélo de montagne Scott spark 950 (gris),2023,Scott,Spark,2023,,3700,CAD,Excellent - Lightly Ridden,M,"29""",130 mm,currency
2018 Giant Reign 1,2018,Giant,Reign,2018,,2000,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2021 Specialized Enduro,2021,Specialized,Enduro,2021,,6450,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2018 Specialized Fuse XXL custom build,2018,Specialized,Fuse,2018,,4000,USD,Excellent - Lightly Ridden,XXL,"27.5"" / 650B",120 mm,currency
2022 Transition Spire,2022,Transition,Spire,2022,,3000,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2016 Liv Intrigue  S women,2016,Liv,Intrigue,2016,,1200,CAD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",140 mm,currency
2021 Revel Rail 27.5 large,2021,Revel,Rail,2021,,3900,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2022 TREK SLASH XO1,2022,Trek,Slash,2022,,3999,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2019 LIv XS,2019,Liv,NoModelFound,2019,,2000,USD,Excellent - Lightly Ridden,XS,"27.5"" / 650B",140 mm,model
2019 Intense Primer,2019,Intense,Prime,2019,,2500,USD,"Good - Used, Mechanically Sound",L,"29""",150 mm,currency
2020 Rocky Mountain Slayer a50 29er,2020,Rocky Mountain,Slayer,2020,,3600,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
"2019 Fezzari La Sal Peak, Dream Build, I9 Hydra, XTR",2019,Fezzari,La Sal Peak,2019,,4990,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2016 Santa cruz Bronson,2016,Santa Cruz,Bronson,2016,,1650,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2018 Norco Range C3 Large,2018,Norco,Range,2018,,2000,CAD,"Good - Used, Mechanically Sound",L,"29""",150 mm,currency
2019 Kona Process 153,2019,Kona,Process 153,2019,,2800,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,currency
"2014 Santa Cruz Nomad SPX, Size Large",2014,Santa Cruz,Nomad,2014,,1200,CAD,"Good - Used, Mechanically Sound",L,"26""",160 mm,currency
2017 YT Jeffsy,2017,YT,Jeffsy,2017,,2000,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,currency
Specialized Comp 1 (full suspension),,Specialized,NoModelFound,,,990,USD,Excellent - Lightly Ridden,55cm,"26""",150 mm,price
2021 Giant Reign Small,2021,Giant,Reign,2021,,3000,CAD,Excellent - Lightly Ridden,S,"29""",170 mm,currency
