Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2019 Brand New! Giant Trance Advance 0 29,2019,Giant,NoModelFound,3350,USD,New - Unridden/With Tags,XL,29,150 mm,155 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3626118/
2024 Specialized Stumpjumper LTD S3,2024,Specialized,NoModelFound,3500,USD,Excellent - Lightly Ridden,M,,140 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3894305/
2024 Ibis,2024,Ibis,NoModelFound,3717,CAD,New - Unridden/With Tags,M,29,160 mm,150 mm,Aluminium,model,https://www.pinkbike.com/buysell/3871673/
2022 NS Eccentric Size Large,2022,NoManufacturer,NoModelFound,3281,CAD,Excellent - Lightly Ridden,L,29,140 mm,0 mm (Hardtail),Chromoly,manufacturer,https://www.pinkbike.com/buysell/3861180/
2023 Orbea Rise H10 med mint,2023,Orbea,Rise Electric,4300,USD,Excellent - Lightly Ridden,M,29,150 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3891030/
2020 Knolly Fugative LT XL Custom Build,2020,Knolly,NoModelFound,1823,CAD,"Good - Used, Mechanically Sound",XL,29,150 mm,135 mm,Aluminium,model,https://www.pinkbike.com/buysell/3879984/
"2018 Specialized Camber Carbon Large 29""",2018,Specialized,NoModelFound,1677,CAD,"Good - Used, Mechanically Sound",L,29,120 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3890826/
2020 Kona Process 134 CR/DL,2020,Kona,NoModelFound,2770,CAD,Excellent - Lightly Ridden,M,29,140 mm,135 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3885214/
2024 Santa Cruz 5010 MX Gx Transmission (Employee demo),2024,Santa Cruz,5010,4800,USD,Excellent - Lightly Ridden,L,,140 mm,130 mm,Carbon Fiber,wheel size,https://www.pinkbike.com/buysell/3888052/
2024 Ibis Ripley V4S Large Shimano XT,2024,Ibis,NoModelFound,3900,USD,Excellent - Lightly Ridden,L,29,130 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3895677/
2019 Intense Recluse - Mint Condition,2019,Intense,NoModelFound,2479,CAD,Excellent - Lightly Ridden,L,27.5 / 650B,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3895665/
2010 Specialized Stumpjumper FSR Expert 29,2010,Specialized,NoModelFound,693,CAD,Excellent - Lightly Ridden,L,29,120 mm,,,model,https://www.pinkbike.com/buysell/3895658/
"2020 Hawk Hill 2, Upgraded and overhauled",2020,NoManufacturer,NoModelFound,1500,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,130 mm,120 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3679946/
XL Salsa Timberjack 29” hardtail mountain bike,,Salsa,Timberjack,2000,USD,"Good - Used, Mechanically Sound",XL,29,140 mm,0 mm (Hardtail),Aluminium,year,https://www.pinkbike.com/buysell/3814836/
Intense Carbine 29,,Intense,Carbine,3200,USD,Excellent - Lightly Ridden,L,29,160 mm,100 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3630489/
